route_id,direction_id,direction,agency_id,agency_name
6,0,Inbound,CC,County Connection
6,1,Outbound,CC,County Connection
7,0,Outbound,CC,County Connection
7,1,Inbound,CC,County Connection
8,0,Inbound,CC,County Connection
8,1,Outbound,CC,County Connection
9,0,Inbound,CC,County Connection
9,1,Outbound,CC,County Connection
10,0,Inbound,CC,County Connection
10,1,Outbound,CC,County Connection
11,0,Outbound,CC,County Connection
11,1,Inbound,CC,County Connection
12,0,Inbound,CC,County Connection
12,1,Outbound,CC,County Connection
16,0,Inbound,CC,County Connection
16,1,Outbound,CC,County Connection
17,0,Inbound,CC,County Connection
17,1,Outbound,CC,County Connection
18,0,Outbound,CC,County Connection
18,1,Inbound,CC,County Connection
19,0,Inbound,CC,County Connection
19,1,Outbound,CC,County Connection
20,0,Inbound,CC,County Connection
21,0,Inbound,CC,County Connection
21,1,Outbound,CC,County Connection
22,0,Inbound,CC,County Connection
22,1,Outbound,CC,County Connection
25,0,Inbound,CC,County Connection
26,0,Inbound,CC,County Connection
26,1,Outbound,CC,County Connection
27,0,Inbound,CC,County Connection
27,1,Outbound,CC,County Connection
28,0,Inbound,CC,County Connection
31,0,Inbound,CC,County Connection
31,1,Outbound,CC,County Connection
32,0,Inbound,CC,County Connection
33,0,Inbound,CC,County Connection
33,1,Outbound,CC,County Connection
34,0,Inbound,CC,County Connection
34,1,Outbound,CC,County Connection
35,0,Inbound,CC,County Connection
35,1,Outbound,CC,County Connection
36,0,Inbound,CC,County Connection
36,1,Outbound,CC,County Connection
38,0,Inbound,CC,County Connection
38,1,Outbound,CC,County Connection
40,0,Inbound,CC,County Connection
40,1,Outbound,CC,County Connection
23,0,Inbound,CC,County Connection
23,1,Outbound,CC,County Connection
3,0,Inbound,CC,County Connection
3,1,Outbound,CC,County Connection
15,0,Inbound,CC,County Connection
29,0,Inbound,CC,County Connection
29,1,Outbound,CC,County Connection
30,0,Inbound,CC,County Connection
37,0,Inbound,CC,County Connection
37,1,Outbound,CC,County Connection
1,0,Inbound,CC,County Connection
1,1,Outbound,CC,County Connection
13,0,Inbound,CC,County Connection
13,1,Outbound,CC,County Connection
14,0,Inbound,CC,County Connection
14,1,Outbound,CC,County Connection
39,0,Inbound,CC,County Connection
39,1,Outbound,CC,County Connection
ACE,0,West,CE,Altamont Corridor Express
ACE,1,East,CE,Altamont Corridor Express
12168,0,Inbound,CM,Commute.org Shuttles
12168,1,Loop,CM,Commute.org Shuttles
12151,0,Inbound,CM,Commute.org Shuttles
12151,1,Loop,CM,Commute.org Shuttles
12153,0,Loop,CM,Commute.org Shuttles
12153,1,Inbound,CM,Commute.org Shuttles
12161,0,Outbound,CM,Commute.org Shuttles
12160,0,Loop,CM,Commute.org Shuttles
12160,1,Inbound,CM,Commute.org Shuttles
12159,0,Inbound,CM,Commute.org Shuttles
12159,1,Loop,CM,Commute.org Shuttles
12158,0,Loop,CM,Commute.org Shuttles
12158,1,Inbound,CM,Commute.org Shuttles
12167,0,Loop,CM,Commute.org Shuttles
12155,0,Outbound,CM,Commute.org Shuttles
12165,0,Loop,CM,Commute.org Shuttles
12157,0,Loop,CM,Commute.org Shuttles
12157,1,Inbound,CM,Commute.org Shuttles
12166,0,Loop,CM,Commute.org Shuttles
12156,0,Loop,CM,Commute.org Shuttles
12156,1,Inbound,CM,Commute.org Shuttles
12152,0,Loop,CM,Commute.org Shuttles
12163,0,Loop,CM,Commute.org Shuttles
12163,1,Inbound,CM,Commute.org Shuttles
12150,0,Inbound,CM,Commute.org Shuttles
12150,1,Loop,CM,Commute.org Shuttles
12164,0,Loop,CM,Commute.org Shuttles
12164,1,Inbound,CM,Commute.org Shuttles
12169,0,Loop,CM,Commute.org Shuttles
12169,1,Inbound,CM,Commute.org Shuttles
12154,0,Loop,CM,Commute.org Shuttles
12162,0,Outbound,CM,Commute.org Shuttles
12162,1,Inbound,CM,Commute.org Shuttles
13254,0,South,CT,Caltrain
13254,1,North,CT,Caltrain
12869,0,North,CT,Caltrain
12869,1,South,CT,Caltrain
12870,0,North,CT,Caltrain
12870,1,South,CT,Caltrain
12868,0,North,CT,Caltrain
12868,1,South,CT,Caltrain
12871,0,North,CT,Caltrain
12867,0,North,CT,Caltrain
12867,1,South,CT,Caltrain
DB1,0,East,DE,Dumbarton Express Consortium
DB1,1,West,DE,Dumbarton Express Consortium
DB,0,West,DE,Dumbarton Express Consortium
DB,1,East,DE,Dumbarton Express Consortium
4817,0,Loop,EM,Emery Go-Round
4818,0,Loop,EM,Emery Go-Round
4819,0,Loop,EM,Emery Go-Round
4822,0,Loop,EM,Emery Go-Round
4821,0,Loop,EM,Emery Go-Round
4823,0,Loop,EM,Emery Go-Round
4820,0,Loop,EM,Emery Go-Round
974,0,West,FS,Fairfield and Suisun Transit
974,1,East,FS,Fairfield and Suisun Transit
975,0,South,FS,Fairfield and Suisun Transit
975,1,North,FS,Fairfield and Suisun Transit
11128,0,South,FS,Fairfield and Suisun Transit
11128,1,North,FS,Fairfield and Suisun Transit
11144,0,East,FS,Fairfield and Suisun Transit
11144,1,West,FS,Fairfield and Suisun Transit
973,0,South,FS,Fairfield and Suisun Transit
973,1,North,FS,Fairfield and Suisun Transit
980,0,South,FS,Fairfield and Suisun Transit
980,1,North,FS,Fairfield and Suisun Transit
3204,0,South,FS,Fairfield and Suisun Transit
976,0,East,FS,Fairfield and Suisun Transit
976,1,West,FS,Fairfield and Suisun Transit
977,0,East,FS,Fairfield and Suisun Transit
977,1,West,FS,Fairfield and Suisun Transit
979,0,North,FS,Fairfield and Suisun Transit
979,1,South,FS,Fairfield and Suisun Transit
3205,0,North,FS,Fairfield and Suisun Transit
3202,0,South,FS,Fairfield and Suisun Transit
978,0,East,FS,Fairfield and Suisun Transit
978,1,West,FS,Fairfield and Suisun Transit
SF-212,0,North,GF,Golden Gate Ferry
SF-212,1,South,GF,Golden Gate Ferry
LF-212,0,North,GF,Golden Gate Ferry
LF-212,1,South,GF,Golden Gate Ferry
TF-212,0,South,GF,Golden Gate Ferry
TF-212,1,North,GF,Golden Gate Ferry
704-212,0,West,GG,Golden Gate Transit
704-212,1,East,GG,Golden Gate Transit
705-212,0,West,GG,Golden Gate Transit
801-212,0,North,GG,Golden Gate Transit
18-212,0,South,GG,Golden Gate Transit
18-212,1,North,GG,Golden Gate Transit
101X-212,0,North,GG,Golden Gate Transit
101X-212,1,South,GG,Golden Gate Transit
31-212,0,North,GG,Golden Gate Transit
31-212,1,South,GG,Golden Gate Transit
25-212,0,East,GG,Golden Gate Transit
25-212,1,West,GG,Golden Gate Transit
76-212,0,North,GG,Golden Gate Transit
76-212,1,South,GG,Golden Gate Transit
70-212,0,North,GG,Golden Gate Transit
70-212,1,South,GG,Golden Gate Transit
24C-212,0,North,GG,Golden Gate Transit
24C-212,1,South,GG,Golden Gate Transit
2-212,0,North,GG,Golden Gate Transit
2-212,1,South,GG,Golden Gate Transit
24-212,0,North,GG,Golden Gate Transit
24-212,1,South,GG,Golden Gate Transit
24X-212,0,North,GG,Golden Gate Transit
24X-212,1,South,GG,Golden Gate Transit
27-212,0,South,GG,Golden Gate Transit
27-212,1,North,GG,Golden Gate Transit
30-212,0,North,GG,Golden Gate Transit
30-212,1,South,GG,Golden Gate Transit
38-212,0,North,GG,Golden Gate Transit
38-212,1,South,GG,Golden Gate Transit
4-212,0,South,GG,Golden Gate Transit
4-212,1,North,GG,Golden Gate Transit
40-212,0,East,GG,Golden Gate Transit
40-212,1,West,GG,Golden Gate Transit
40X-212,0,West,GG,Golden Gate Transit
40X-212,1,East,GG,Golden Gate Transit
44-212,0,North,GG,Golden Gate Transit
44-212,1,South,GG,Golden Gate Transit
54-212,0,North,GG,Golden Gate Transit
