route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,agency_name
668,AC,668,21st & Macdonald Ave. - El Cerrito,,3,,,,AC Transit
680,AC,680,Bishop O'Dowd H.S./ Macarthur Blvd,,3,,,,AC Transit
681,AC,681,Rich Pkwy & W.Macd - DeJean M.S.,,3,,,,AC Transit
682,AC,682,Bishop O'Dowd H.S./ Montclair/ 40th Broadway,,3,,,,AC Transit
655,AC,655,Montera M.S./ 35th Ave/ Fruitvale Bart,,3,,,,AC Transit
671,AC,671,CCC - De Anza HS/Crespi MS,,3,,,,AC Transit
675,AC,675,21st & Macdonald Ave. - El Cerrito,,3,,,,AC Transit
676,AC,676,N.Richmond - San Pablo - El Sobrante,,3,,,,AC Transit
679,AC,679,Crespi MS & DeAnza High Schools,,3,,,,AC Transit
687,AC,687,Bay Farm Is. / Lincoln Middle Sch.,,3,,,,AC Transit
662,AC,662,Skyline H.S./ 40th & Broadway,,3,,,,AC Transit
696,AC,696,Oakland Tech H.S./ Montclair/ Redwood Rd,,3,,,,AC Transit
70,AC,70,Richmond Pkwy. TC. - Richmond BART,,3,,,,AC Transit
72R,AC,72R,San Pablo Rapid BUS,,3,,,,AC Transit
76,AC,76,Hilltop Mall - CCC - del Norte BART,,3,,,,AC Transit
688,AC,688,St. Marys H.S./ Montclair/ Lakeshore Ave,,3,,,,AC Transit
29,AC,29,Emeryville\ W. Oakland Bart\ Lakeshore Ave,,3,,,,AC Transit
33,AC,33,Montclair\ Piedmont,,3,,,,AC Transit
36,AC,36,W. Oakland Bart\ Bancroft Way\ U.C. Berkeley,,3,,,,AC Transit
96,AC,96,Fruitvale Montana\ Alameda Point,,3,,,,AC Transit
79,AC,79,Rockridge/Berkeley/El Cerrito BART,,3,,,,AC Transit
80,AC,80,Claremont/El Cerrito Bart,,3,,,,AC Transit
28,AC,28,Hayward\ Castro Valley\ Bayfair\ San Leandro Bart,,3,,,,AC Transit
CC,AM,CC,,"Daily train service between Auburn, Sacramento, Oakland and San Jose",2,http://capitolcorridor.org/route_and_schedules/,,,Capitol Corridor Joint Powers Authority
SF,AM,SF,,,3,https://www.capitolcorridor.org/schedules/,cae4f1,0.0,Capitol Corridor Joint Powers Authority
Yellow,BA,Yellow,Antioch - SFO/Millbrae,,2,http://www.bart.gov/schedules/bylineresults?route=1,ffff33,,Bay Area Rapid Transit
Orange,BA,Orange,Warm Springs/South Fremont - Richmond,,2,http://www.bart.gov/schedules/,ff9933,,Bay Area Rapid Transit
Green,BA,Green,Warm Springs/South Fremont - Daly City,,2,http://www.bart.gov/schedules/,339933,,Bay Area Rapid Transit
Red,BA,Red,Richmond - Daly City/Millbrae,,2,http://www.bart.gov/schedules/,ff0000,,Bay Area Rapid Transit
Beige,BA,Beige,OAK - Coliseum,,2,http://www.bart.gov/schedules/,d5cfa3,,Bay Area Rapid Transit
Blue-Sun,BA,Blue-Sun,Dublin/Pleasanton - MacArthur,,2,http://www.bart.gov/schedules/,0099cc,,Bay Area Rapid Transit
Blue-Wkd/Sat,BA,Blue-Wkd/Sat,Dublin/Pleasanton - Daly City,,2,http://www.bart.gov/schedules/,0099cc,,Bay Area Rapid Transit
Purple,BA,Purple,Millbrae - SFO,,2,http://www.bart.gov/schedules/,c463c5,,Bay Area Rapid Transit
10,CC,10,Concord BART/Clayton Rd,,3,,006493,ffffff,County Connection
35,CC,35,Dublin/Pleasanton BART/San Ramon,,3,,006493,ffffff,County Connection
14,CC,14,Concord BART/Walnut Creek BART,,3,,006493,ffffff,County Connection
15,CC,15,Concord BART/Pleasant Hill BART,,3,,006493,ffffff,County Connection
16,CC,16,Martinez Amtrak/Concord BART,,3,,006493,ffffff,County Connection
17,CC,17,Concord BART/North Concord BART,,3,,006493,ffffff,County Connection
18,CC,18,Martinez Amtrak/Pleasant Hill BART,,3,,006493,ffffff,County Connection
19,CC,19,Martinez Amtrak/Concord BART,,3,,006493,ffffff,County Connection
20,CC,20,DVC/Concord BART,,3,,006493,ffffff,County Connection
21,CC,21,Walnut Creek BART/San Ramon,,3,,006493,ffffff,County Connection
250,CC,250,Lafayette BART/Saint Mary's College,,3,,999999,ffffff,County Connection
28,CC,28,DVC/Amtrak,,3,,006493,ffffff,County Connection
310,CC,310,Concord BART/Clayton Rd,,3,,9C629D,ffffff,County Connection
311,CC,311,Concord BART/Walnut Creek BART,,3,,9C629D,ffffff,County Connection
314,CC,314,Concord BART/DVC,,3,,9C629D,ffffff,County Connection
315,CC,315,Concord BART/Bel Air Dr,,3,,9C629D,ffffff,County Connection
316,CC,316,Martinez Amtrak/Pleasant Hill BART,,3,,9C629D,ffffff,County Connection
320,CC,320,DVC/Concord BART,,3,,9C629D,ffffff,County Connection
4,CC,4,Walnut Creek BART/Broadway Plaza,,3,,46A076,ffffff,County Connection
5,CC,5,Walnut Creek BART/Creekside Dr,,3,,46A076,ffffff,County Connection
6,CC,6,Lafayette BART/Orinda BART,,3,,006493,ffffff,County Connection
7,CC,7,Pleasant Hill BART/Shadelands,,3,,46A076,ffffff,County Connection
9,CC,9,DVC/Walnut Creek BART,,3,,006493,ffffff,County Connection
91X,CC,91X,Concord Commuter Express,,3,,DE9637,ffffff,County Connection
92X,CC,92X,Pleasanton ACE/Mitchell Dr,,3,,DE9637,ffffff,County Connection
93X,CC,93X,Walnut Creek BART/Antioch BART,,3,,DE9637,ffffff,County Connection
95X,CC,95X,Walnut Creek BART/San Ramon,,3,,DE9637,ffffff,County Connection
96X,CC,96X,Walnut Creek BART/Bishop Ranch,,3,,DE9637,ffffff,County Connection
98X,CC,98X,Martinez Amtrak/Walnut Creek BART,,3,,DE9637,ffffff,County Connection
ALAMOCR,CC,ALAMOCR,Alamo Creek Shuttle,,3,,46A076,ffffff,County Connection
321,CC,321,Walnut Creek BART/San Ramon,,3,,9C629D,ffffff,County Connection
11,CC,11,Concord BART/Pleasant Hill BART,,3,,006493,ffffff,County Connection
27,CC,27,North Concord BART/Bates Ave,,3,,006493,ffffff,County Connection
712,CC,712,Bay Point BART/Oakland 19th St,,3,,999999,ffffff,County Connection
715,CC,715,North Concord BART/Lafayette BART,,3,,999999,ffffff,County Connection
97X,CC,97X,Dublin/Pleasanton BART/Bishop Ranch,,3,,DE9637,ffffff,County Connection
1,CC,1,Rossmoor/Shadelands,,3,,006493,ffffff,County Connection
260F,CC,260F,Concord BART/Cal State East Bay,,3,,999999,ffffff,County Connection
260MTH,CC,260MTH,Concord BART/Cal State East Bay,,3,,999999,ffffff,County Connection
99X,CC,99X,Martinez Amtrak/North Concord BART,,3,,DE9637,ffffff,County Connection
ACE,CE,ACE,,,2,,,,Altamont Corridor Express
Bayshore Caltrain Shuttle,CM,Bayshore Caltrain Shuttle,,,3,http://commute.org/shuttles/routes-and-schedules/15-brisbane-bayshore-caltrain,,,Commute.org Shuttles
North Burlingame BART/Caltrain Shuttle,CM,North Burlingame BART/Caltrain Shuttle,,,3,http://commute.org/shuttles/routes-and-schedules/89-burlingame-north-bartcaltrain,,,Commute.org Shuttles
North Foster City BART/Caltrain Shuttle,CM,North Foster City BART/Caltrain Shuttle,,,3,http://commute.org/shuttles/routes-and-schedules/22-foster-city-north-bartcaltrain,,,Commute.org Shuttles
One Tower Place BART/Caltrain Shuttle,CM,One Tower Place BART/Caltrain Shuttle,,,3,http://commute.org/shuttles-info/127-so-san-francisco-genesis-one-tower-place,,,Commute.org Shuttles
Oyster Point BART Shuttle,CM,Oyster Point BART Shuttle,,,3,http://commute.org/shuttles/routes-and-schedules/98-so-san-francisco-oyster-pt-bart,,,Commute.org Shuttles
Oyster Point Caltrain Shuttle,CM,Oyster Point Caltrain Shuttle,,,3,http://commute.org/shuttles/routes-and-schedules/78-so-san-francisco-oyster-pt-caltrain,,,Commute.org Shuttles
Oyster Point Ferry Shuttle,CM,Oyster Point Ferry Shuttle,,,3,http://commute.org/shuttles/routes-and-schedules/129-so-san-francisco-oyster-point-ferry,,,Commute.org Shuttles
San Carlos Commuter Caltrain Shuttle,CM,San Carlos Commuter Caltrain Shuttle,,,3,http://commute.org/shuttles/routes-and-schedules/290-san-carlos-commuter,,,Commute.org Shuttles
Seaport Centre Caltrain Shuttle,CM,Seaport Centre Caltrain Shuttle,,,3,http://commute.org/shuttles/routes-and-schedules/122-redwood-city-seaport-caltrain,,,Commute.org Shuttles
Utah/Grand BART Shuttle,CM,Utah/Grand BART Shuttle,,,3,http://commute.org/shuttles/routes-and-schedules/81-so-san-francisco-utahgrand-bart,,,Commute.org Shuttles
Utah/Grand Caltrain Shuttle,CM,Utah/Grand Caltrain Shuttle,,,3,http://commute.org/shuttles/routes-and-schedules/82-so-san-francisco-utahgrand-caltrain,,,Commute.org Shuttles
Bayshore Technology Caltrain Shuttle,CM,Bayshore Technology Caltrain Shuttle,,,3,http://commute.org/shuttles/routes-and-schedules/248-redwood-shores-bayshore-technology-park-caltrain,,,Commute.org Shuttles
Utah/Grand Ferry Shuttle,CM,Utah/Grand Ferry Shuttle,,,3,http://commute.org/shuttles/routes-and-schedules/120-so-san-francisco-utahgrand-ferry,,,Commute.org Shuttles
Lincoln Centre Caltrain Shuttle,CM,Lincoln Centre Caltrain Shuttle,,,3,http://commute.org/shuttles/routes-and-schedules/106-foster-city-lincoln-centre-caltrain,,,Commute.org Shuttles
