jurs_name,cnty_name,mtc_year,mtc_pda,mtc_tpa,co_vlow_income_dr,co_vlow_income_ndr,co_low_income_dr,co_low_income_ndr,co_mod_income_dr,co_mod_income_ndr,co_above_mod_income,mtc_co_total_units
HERCULES,CONTRA COSTA,2019.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0
LAFAYETTE,CONTRA COSTA,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,5.0,11.0,16.0
LAFAYETTE,CONTRA COSTA,2018.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LAFAYETTE,CONTRA COSTA,2018.0,True,True,0.0,0.0,0.0,0.0,7.0,1.0,62.0,70.0
LAFAYETTE,CONTRA COSTA,2019.0,False,False,0.0,0.0,1.0,0.0,2.0,2.0,30.0,35.0
LAFAYETTE,CONTRA COSTA,2019.0,False,True,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0
LAFAYETTE,CONTRA COSTA,2019.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LARKSPUR,MARIN,2018.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LARKSPUR,MARIN,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LARKSPUR,MARIN,2019.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LIVERMORE,ALAMEDA,2018.0,False,False,0.0,0.0,8.0,0.0,3.0,11.0,98.0,120.0
LIVERMORE,ALAMEDA,2018.0,False,True,0.0,0.0,0.0,0.0,0.0,1.0,20.0,21.0
LIVERMORE,ALAMEDA,2018.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,78.0,78.0
LIVERMORE,ALAMEDA,2018.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
LIVERMORE,ALAMEDA,2019.0,False,False,0.0,0.0,3.0,0.0,6.0,9.0,72.0,90.0
LIVERMORE,ALAMEDA,2019.0,False,True,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0
